V(Linear Velocity),W(Angular Velocity),goal_reaching_cost,MU,SIGMA,PVO cost
-0.2,-0.2,0.9998,7.6227,0.3291,8.1163
-0.2,-0.1789,0.9995,7.6265,0.3245,8.1132
-0.2,-0.1579,0.9994,7.6298,0.3203,8.1103
-0.2,-0.1368,0.9992,7.6327,0.3167,8.1077
-0.2,-0.1158,0.9991,7.6351,0.3135,8.1054
-0.2,-0.0947,0.999,7.6372,0.3108,8.1034
-0.2,-0.0737,0.9989,7.6388,0.3087,8.1018
-0.2,-0.0526,0.9988,7.6399,0.307,8.1005
-0.2,-0.0316,0.9988,7.6406,0.3059,8.0995
-0.2,-0.0105,0.9988,7.6409,0.3054,8.099
-0.2,0.0105,0.9988,7.6408,0.3054,8.0988
-0.2,0.0316,0.9988,7.6402,0.3059,8.0991
-0.2,0.0526,0.9989,7.6392,0.307,8.0997
-0.2,0.0737,0.999,7.6378,0.3086,8.1006
-0.2,0.0947,0.9991,7.6359,0.3107,8.102
-0.2,0.1158,0.9992,7.6336,0.3134,8.1036
-0.2,0.1368,0.9994,7.6308,0.3165,8.1056
-0.2,0.1579,0.9996,7.6277,0.3202,8.1079
-0.2,0.1789,0.9998,7.6241,0.3243,8.1105
-0.2,0.2,1.0,7.62,0.3289,8.1133
-0.1789,-0.2,0.9473,7.8534,0.3388,8.3615
-0.1789,-0.1789,0.947,7.8573,0.334,8.3582
-0.1789,-0.1579,0.9468,7.8608,0.3296,8.3552
-0.1789,-0.1368,0.9467,7.8638,0.3258,8.3525
-0.1789,-0.1158,0.9465,7.8664,0.3225,8.3501
-0.1789,-0.0947,0.9464,7.8685,0.3196,8.348
-0.1789,-0.0737,0.9463,7.8702,0.3174,8.3462
-0.1789,-0.0526,0.9462,7.8714,0.3157,8.3449
-0.1789,-0.0316,0.9462,7.8721,0.3145,8.3439
-0.1789,-0.0105,0.9462,7.8724,0.3139,8.3433
-0.1789,0.0105,0.9462,7.8723,0.3139,8.3432
-0.1789,0.0316,0.9462,7.8717,0.3145,8.3434
-0.1789,0.0526,0.9463,7.8706,0.3156,8.3441
-0.1789,0.0737,0.9464,7.8691,0.3173,8.3451
-0.1789,0.0947,0.9465,7.8671,0.3196,8.3465
-0.1789,0.1158,0.9467,7.8647,0.3223,8.3483
-0.1789,0.1368,0.9468,7.8619,0.3257,8.3504
-0.1789,0.1579,0.947,7.8585,0.3295,8.3528
-0.1789,0.1789,0.9473,7.8548,0.3338,8.3555
-0.1789,0.2,0.9475,7.8505,0.3386,8.3584
-0.1579,-0.2,0.8948,8.0875,0.3486,8.6104
-0.1579,-0.1789,0.8945,8.0916,0.3436,8.607
-0.1579,-0.1579,0.8943,8.0952,0.3391,8.6038
-0.1579,-0.1368,0.8941,8.0984,0.335,8.6009
-0.1579,-0.1158,0.894,8.1011,0.3315,8.5984
-0.1579,-0.0947,0.8938,8.1033,0.3286,8.5962
-0.1579,-0.0737,0.8937,8.105,0.3262,8.5943
-0.1579,-0.0526,0.8937,8.1063,0.3244,8.5929
-0.1579,-0.0316,0.8936,8.1071,0.3232,8.5919
-0.1579,-0.0105,0.8936,8.1074,0.3226,8.5913
-0.1579,0.0105,0.8936,8.1072,0.3226,8.5912
-0.1579,0.0316,0.8937,8.1066,0.3232,8.5914
-0.1579,0.0526,0.8937,8.1055,0.3244,8.5921
-0.1579,0.0737,0.8938,8.1039,0.3262,8.5932
-0.1579,0.0947,0.894,8.1019,0.3285,8.5947
-0.1579,0.1158,0.8941,8.0993,0.3315,8.5965
-0.1579,0.1368,0.8943,8.0963,0.3349,8.5987
-0.1579,0.1579,0.8945,8.0929,0.3389,8.6013
-0.1579,0.1789,0.8948,8.0889,0.3435,8.6041
-0.1579,0.2,0.895,8.0845,0.3485,8.6072
