V(Linear Velocity),W(Angular Velocity),goal_reaching_cost,MU,SIGMA,PVO cost
-0.2,-0.2,0.9991,9.954,0.4247,10.5911
-0.2,-0.1789,0.9988,9.9595,0.4178,10.5863
-0.2,-0.1579,0.9984,9.9644,0.4117,10.5819
-0.2,-0.1368,0.9982,9.9685,0.4063,10.5779
-0.2,-0.1158,0.9979,9.972,0.4016,10.5744
-0.2,-0.0947,0.9978,9.9748,0.3978,10.5715
-0.2,-0.0737,0.9976,9.977,0.3948,10.5691
-0.2,-0.0526,0.9975,9.9784,0.3926,10.5674
-0.2,-0.0316,0.9975,9.9792,0.3913,10.5662
-0.2,-0.0105,0.9975,9.9793,0.3909,10.5657
-0.2,0.0105,0.9975,9.9788,0.3913,10.5658
-0.2,0.0316,0.9976,9.9776,0.3926,10.5665
-0.2,0.0526,0.9978,9.9757,0.3948,10.5679
-0.2,0.0737,0.9979,9.9731,0.3978,10.5698
-0.2,0.0947,0.9982,9.9698,0.4016,10.5723
-0.2,0.1158,0.9984,9.9659,0.4063,10.5754
-0.2,0.1368,0.9988,9.9613,0.4117,10.5789
-0.2,0.1579,0.9991,9.9561,0.4179,10.5829
-0.2,0.1789,0.9995,9.9501,0.4247,10.5872
-0.2,0.2,1.0,9.9435,0.4323,10.5919
-0.1789,-0.2,0.9465,10.2174,0.4358,10.871
-0.1789,-0.1789,0.9461,10.2231,0.4286,10.866
-0.1789,-0.1579,0.9458,10.2281,0.4222,10.8615
-0.1789,-0.1368,0.9455,10.2324,0.4166,10.8573
-0.1789,-0.1158,0.9452,10.236,0.4118,10.8537
-0.1789,-0.0947,0.945,10.239,0.4078,10.8507
-0.1789,-0.0737,0.9449,10.2412,0.4047,10.8482
-0.1789,-0.0526,0.9448,10.2427,0.4024,10.8464
-0.1789,-0.0316,0.9448,10.2435,0.4011,10.8452
-0.1789,-0.0105,0.9448,10.2436,0.4006,10.8446
-0.1789,0.0105,0.9448,10.2431,0.4011,10.8447
-0.1789,0.0316,0.9449,10.2418,0.4025,10.8455
-0.1789,0.0526,0.9451,10.2398,0.4047,10.8469
-0.1789,0.0737,0.9452,10.2372,0.4078,10.8489
-0.1789,0.0947,0.9455,10.2338,0.4118,10.8515
-0.1789,0.1158,0.9458,10.2297,0.4167,10.8547
-0.1789,0.1368,0.9461,10.225,0.4223,10.8584
-0.1789,0.1579,0.9465,10.2195,0.4287,10.8625
-0.1789,0.1789,0.947,10.2133,0.4358,10.8671
-0.1789,0.2,0.9475,10.2065,0.4437,10.872
-0.1579,-0.2,0.8939,10.4842,0.447,11.1547
-0.1579,-0.1789,0.8935,10.4901,0.4396,11.1495
-0.1579,-0.1579,0.8931,10.4953,0.4329,11.1447
-0.1579,-0.1368,0.8928,10.4998,0.4271,11.1404
-0.1579,-0.1158,0.8926,10.5035,0.4221,11.1367
-0.1579,-0.0947,0.8923,10.5066,0.418,11.1335
-0.1579,-0.0737,0.8922,10.5089,0.4147,11.1309
-0.1579,-0.0526,0.8921,10.5104,0.4124,11.129
-0.1579,-0.0316,0.892,10.5113,0.411,11.1278
-0.1579,-0.0105,0.892,10.5114,0.4105,11.1272
-0.1579,0.0105,0.8921,10.5108,0.411,11.1273
-0.1579,0.0316,0.8922,10.5095,0.4124,11.1281
-0.1579,0.0526,0.8924,10.5075,0.4148,11.1296
-0.1579,0.0737,0.8926,10.5047,0.418,11.1317
-0.1579,0.0947,0.8928,10.5012,0.4222,11.1344
-0.1579,0.1158,0.8931,10.497,0.4272,11.1377
-0.1579,0.1368,0.8935,10.492,0.433,11.1416
-0.1579,0.1579,0.8939,10.4864,0.4397,11.1459
-0.1579,0.1789,0.8944,10.48,0.4471,11.1506
-0.1579,0.2,0.895,10.4728,0.4553,11.1557
-0.1368,-0.2,0.8414,10.7544,0.4584,11.442
-0.1368,-0.1789,0.8409,10.7606,0.4507,11.4366
-0.1368,-0.1579,0.8405,10.7659,0.4438,11.4316
-0.1368,-0.1368,0.8402,10.7706,0.4377,11.4272
-0.1368,-0.1158,0.8399,10.7745,0.4325,11.4233
-0.1368,-0.0947,0.8396,10.7776,0.4282,11.42
-0.1368,-0.0737,0.8395,10.78,0.4249,11.4173
-0.1368,-0.0526,0.8394,10.7816,0.4224,11.4153
-0.1368,-0.0316,0.8393,10.7825,0.421,11.414
-0.1368,-0.0105,0.8393,10.7826,0.4205,11.4134
-0.1368,0.0105,0.8394,10.782,0.421,11.4135
-0.1368,0.0316,0.8395,10.7806,0.4225,11.4144
-0.1368,0.0526,0.8397,10.7785,0.4249,11.4159
-0.1368,0.0737,0.8399,10.7757,0.4283,11.4181
-0.1368,0.0947,0.8402,10.772,0.4326,11.421
-0.1368,0.1158,0.8405,10.7677,0.4378,11.4244
-0.1368,0.1368,0.8409,10.7625,0.4439,11.4284
-0.1368,0.1579,0.8414,10.7566,0.4508,11.4329
-0.1368,0.1789,0.8419,10.75,0.4585,11.4378
-0.1368,0.2,0.8425,10.7426,0.467,11.4431
-0.1158,-0.2,0.7888,11.0281,0.4699,11.7329
-0.1158,-0.1789,0.7883,11.0344,0.4619,11.7273
-0.1158,-0.1579,0.7879,11.04,0.4548,11.7222
