V(Linear Velocity),W(Angular Velocity),goal_reaching_cost,MU,SIGMA,PVO cost
-0.1158,-0.1368,0.7875,11.0448,0.4485,11.7176
-0.1158,-0.1158,0.7872,11.0489,0.4431,11.7135
-0.1158,-0.0947,0.787,11.0521,0.4386,11.7101
-0.1158,-0.0737,0.7868,11.0546,0.4352,11.7073
-0.1158,-0.0526,0.7866,11.0563,0.4326,11.7052
-0.1158,-0.0316,0.7866,11.0572,0.4311,11.7039
-0.1158,-0.0105,0.7866,11.0573,0.4306,11.7033
-0.1158,0.0105,0.7866,11.0567,0.4312,11.7034
-0.1158,0.0316,0.7868,11.0552,0.4327,11.7043
-0.1158,0.0526,0.787,11.053,0.4352,11.7059
-0.1158,0.0737,0.7872,11.0501,0.4387,11.7082
-0.1158,0.0947,0.7875,11.0463,0.4432,11.7112
-0.1158,0.1158,0.7879,11.0418,0.4486,11.7147
-0.1158,0.1368,0.7883,11.0365,0.4549,11.7189
-0.1158,0.1579,0.7888,11.0304,0.4621,11.7235
-0.1158,0.1789,0.7894,11.0235,0.4701,11.7287
-0.1158,0.2,0.79,11.0159,0.4789,11.7342
-0.0947,-0.2,0.7363,11.3052,0.4816,12.0275
-0.0947,-0.1789,0.7358,11.3118,0.4733,12.0217
-0.0947,-0.1579,0.7353,11.3175,0.4659,12.0164
-0.0947,-0.1368,0.7349,11.3225,0.4594,12.0116
-0.0947,-0.1158,0.7345,11.3267,0.4538,12.0074
-0.0947,-0.0947,0.7343,11.33,0.4492,12.0038
-0.0947,-0.0737,0.7341,11.3326,0.4456,12.001
-0.0947,-0.0526,0.7339,11.3344,0.443,11.9988
-0.0947,-0.0316,0.7339,11.3353,0.4414,11.9974
-0.0947,-0.0105,0.7339,11.3354,0.4409,11.9968
-0.0947,0.0105,0.7339,11.3348,0.4414,11.9969
-0.0947,0.0316,0.7341,11.3333,0.443,11.9979
-0.0947,0.0526,0.7343,11.331,0.4457,11.9995
-0.0947,0.0737,0.7345,11.3279,0.4493,12.0019
-0.0947,0.0947,0.7349,11.3241,0.454,12.005
-0.0947,0.1158,0.7353,11.3194,0.4596,12.0087
-0.0947,0.1368,0.7358,11.3139,0.4661,12.013
-0.0947,0.1579,0.7363,11.3076,0.4735,12.0179
-0.0947,0.1789,0.7369,11.3004,0.4818,12.0232
-0.0947,0.2,0.7376,11.2925,0.4909,12.0289
-0.0737,-0.2,0.6838,11.5857,0.4934,12.3258
-0.0737,-0.1789,0.6832,11.5925,0.4849,12.3198
-0.0737,-0.1579,0.6827,11.5985,0.4772,12.3143
-0.0737,-0.1368,0.6822,11.6037,0.4704,12.3093
-0.0737,-0.1158,0.6819,11.608,0.4647,12.305
-0.0737,-0.0947,0.6816,11.6114,0.4599,12.3013
-0.0737,-0.0737,0.6814,11.6141,0.4561,12.2983
-0.0737,-0.0526,0.6812,11.6159,0.4534,12.296
-0.0737,-0.0316,0.6811,11.6169,0.4518,12.2946
-0.0737,-0.0105,0.6811,11.617,0.4513,12.2939
-0.0737,0.0105,0.6812,11.6163,0.4518,12.2941
-0.0737,0.0316,0.6814,11.6148,0.4535,12.2951
-0.0737,0.0526,0.6816,11.6125,0.4562,12.2968
-0.0737,0.0737,0.6819,11.6093,0.46,12.2993
-0.0737,0.0947,0.6823,11.6052,0.4648,12.3025
-0.0737,0.1158,0.6827,11.6004,0.4706,12.3063
-0.0737,0.1368,0.6832,11.5947,0.4774,12.3108
-0.0737,0.1579,0.6838,11.5882,0.4851,12.3158
-0.0737,0.1789,0.6845,11.5808,0.4937,12.3214
-0.0737,0.2,0.6852,11.5726,0.5031,12.3273
-0.0526,-0.2,0.6314,11.8697,0.5054,12.6278
-0.0526,-0.1789,0.6307,11.8767,0.4965,12.6216
-0.0526,-0.1579,0.6301,11.8829,0.4886,12.6158
-0.0526,-0.1368,0.6296,11.8882,0.4816,12.6107
-0.0526,-0.1158,0.6292,11.8927,0.4756,12.6062
-0.0526,-0.0947,0.6289,11.8963,0.4707,12.6023
-0.0526,-0.0737,0.6287,11.899,0.4668,12.5992
-0.0526,-0.0526,0.6285,11.9009,0.464,12.5969
-0.0526,-0.0316,0.6284,11.9019,0.4623,12.5954
-0.0526,-0.0105,0.6284,11.9021,0.4618,12.5947
-0.0526,0.0105,0.6285,11.9014,0.4624,12.5949
-0.0526,0.0316,0.6287,11.8998,0.4641,12.5959
-0.0526,0.0526,0.6289,11.8973,0.4669,12.5977
-0.0526,0.0737,0.6292,11.894,0.4708,12.6003
-0.0526,0.0947,0.6296,11.8899,0.4758,12.6036
-0.0526,0.1158,0.6301,11.8848,0.4819,12.6076
-0.0526,0.1368,0.6307,11.879,0.4889,12.6123
-0.0526,0.1579,0.6314,11.8722,0.4969,12.6175
-0.0526,0.1789,0.6321,11.8646,0.5057,12.6232
-0.0526,0.2,0.6329,11.8561,0.5155,12.6293
-0.0316,-0.2,0.579,12.1571,0.5175,12.9334
-0.0316,-0.1789,0.5782,12.1644,0.5084,12.927
-0.0316,-0.1579,0.5776,12.1708,0.5002,12.921
-0.0316,-0.1368,0.577,12.1763,0.4929,12.9157
-0.0316,-0.1158,0.5766,12.1809,0.4867,12.911
-0.0316,-0.0947,0.5762,12.1846,0.4816,12.907
-0.0316,-0.0737,0.576,12.1874,0.4776,12.9038
-0.0316,-0.0526,0.5758,12.1894,0.4747,12.9014
-0.0316,-0.0316,0.5757,12.1904,0.473,12.8999
-0.0316,-0.0105,0.5757,12.1906,0.4724,12.8992
-0.0316,0.0105,0.5758,12.1898,0.473,12.8994
-0.0316,0.0316,0.576,12.1882,0.4748,12.9004
-0.0316,0.0526,0.5762,12.1857,0.4777,12.9023
-0.0316,0.0737,0.5766,12.1823,0.4818,12.905
-0.0316,0.0947,0.5771,12.178,0.487,12.9084
-0.0316,0.1158,0.5776,12.1728,0.4932,12.9126
-0.0316,0.1368,0.5782,12.1667,0.5005,12.9174
-0.0316,0.1579,0.579,12.1597,0.5087,12.9228
-0.0316,0.1789,0.5798,12.1518,0.5179,12.9287
-0.0316,0.2,0.5807,12.1431,0.528,12.9351
-0.0105,-0.2,0.5266,12.448,0.5298,13.2427
-0.0105,-0.1789,0.5258,12.4555,0.5204,13.236
-0.0105,-0.1579,0.5251,12.4621,0.5119,13.2299
-0.0105,-0.1368,0.5245,12.4678,0.5044,13.2244
-0.0105,-0.1158,0.524,12.4725,0.498,13.2195
-0.0105,-0.0947,0.5236,12.4764,0.4927,13.2154
-0.0105,-0.0737,0.5233,12.4793,0.4885,13.2121
-0.0105,-0.0526,0.5231,12.4813,0.4856,13.2096
-0.0105,-0.0316,0.523,12.4824,0.4838,13.208
-0.0105,-0.0105,0.523,12.4825,0.4832,13.2073
-0.0105,0.0105,0.5231,12.4817,0.4838,13.2075
-0.0105,0.0316,0.5233,12.4801,0.4857,13.2085
-0.0105,0.0526,0.5236,12.4775,0.4887,13.2105
-0.0105,0.0737,0.524,12.4739,0.4929,13.2133
-0.0105,0.0947,0.5245,12.4695,0.4982,13.2169
-0.0105,0.1158,0.5251,12.4641,0.5047,13.2212
-0.0105,0.1368,0.5258,12.4578,0.5122,13.2262
-0.0105,0.1579,0.5266,12.4506,0.5208,13.2317
-0.0105,0.1789,0.5275,12.4425,0.5303,13.2379
-0.0105,0.2,0.5286,12.4334,0.5407,13.2445
0.0105,-0.2,0.4744,12.7422,0.5423,13.5556
0.0105,-0.1789,0.4734,12.75,0.5325,13.5487
0.0105,-0.1579,0.4726,12.7568,0.5237,13.5424
0.0105,-0.1368,0.472,12.7627,0.516,13.5367
0.0105,-0.1158,0.4714,12.7676,0.5094,13.5317
0.0105,-0.0947,0.4709,12.7716,0.5039,13.5274
0.0105,-0.0737,0.4706,12.7746,0.4996,13.524
0.0105,-0.0526,0.4703,12.7766,0.4965,13.5214
0.0105,-0.0316,0.4702,12.7778,0.4947,13.5198
0.0105,-0.0105,0.4702,12.7779,0.4941,13.519
0.0105,0.0105,0.4704,12.7771,0.4947,13.5192
0.0105,0.0316,0.4706,12.7754,0.4966,13.5203
0.0105,0.0526,0.4709,12.7727,0.4998,13.5224
0.0105,0.0737,0.4714,12.7691,0.5041,13.5252
0.0105,0.0947,0.472,12.7645,0.5097,13.5289
0.0105,0.1158,0.4727,12.7589,0.5163,13.5334
0.0105,0.1368,0.4735,12.7524,0.5241,13.5386
0.0105,0.1579,0.4744,12.745,0.5329,13.5444
0.0105,0.1789,0.4754,12.7366,0.5427,13.5507
0.0105,0.2,0.4765,12.7272,0.5535,13.5575
0.0316,-0.2,0.4222,13.04,0.5549,13.8722
0.0316,-0.1789,0.4212,13.048,0.5448,13.8651
0.0316,-0.1579,0.4203,13.055,0.5357,13.8586
0.0316,-0.1368,0.4195,13.0611,0.5277,13.8527
0.0316,-0.1158,0.4188,13.0661,0.5209,13.8475
0.0316,-0.0947,0.4183,13.0702,0.5152,13.8431
0.0316,-0.0737,0.4179,13.0733,0.5108,13.8395
0.0316,-0.0526,0.4176,13.0755,0.5076,13.8369
0.0316,-0.0316,0.4175,13.0766,0.5057,13.8352
0.0316,-0.0105,0.4175,13.0768,0.5051,13.8344
0.0316,0.0105,0.4176,13.076,0.5058,13.8346
0.0316,0.0316,0.4179,13.0742,0.5077,13.8358
0.0316,0.0526,0.4183,13.0714,0.511,13.8379
0.0316,0.0737,0.4188,13.0676,0.5155,13.8409
0.0316,0.0947,0.4195,13.0629,0.5212,13.8447
0.0316,0.1158,0.4203,13.0572,0.5281,13.8493
0.0316,0.1368,0.4212,13.0505,0.5361,13.8547
0.0316,0.1579,0.4222,13.0428,0.5452,13.8607
0.0316,0.1789,0.4234,13.0341,0.5554,13.8672
0.0316,0.2,0.4247,13.0245,0.5665,13.8742
0.0526,-0.2,0.3702,13.3411,0.5676,14.1925
0.0526,-0.1789,0.369,13.3494,0.5572,14.1852
0.0526,-0.1579,0.368,13.3566,0.5478,14.1784
0.0526,-0.1368,0.3671,13.3629,0.5396,14.1723
0.0526,-0.1158,0.3663,13.3681,0.5325,14.1669
0.0526,-0.0947,0.3657,13.3723,0.5267,14.1624
0.0526,-0.0737,0.3652,13.3755,0.5221,14.1587
0.0526,-0.0526,0.3649,13.3777,0.5188,14.156
0.0526,-0.0316,0.3648,13.3789,0.5169,14.1542
0.0526,-0.0105,0.3648,13.3791,0.5162,14.1534
0.0526,0.0105,0.3649,13.3782,0.5169,14.1536
0.0526,0.0316,0.3653,13.3764,0.519,14.1549
0.0526,0.0526,0.3657,13.3735,0.5223,14.157
0.0526,0.0737,0.3663,13.3696,0.527,14.1601
0.0526,0.0947,0.3671,13.3648,0.5329,14.1641
0.0526,0.1158,0.368,13.3589,0.54,14.1689
0.0526,0.1368,0.3691,13.3519,0.5483,14.1744
0.0526,0.1579,0.3703,13.344,0.5577,14.1806
0.0526,0.1789,0.3716,13.3351,0.5682,14.1874
0.0526,0.2,0.3731,13.3251,0.5797,14.1946
0.0737,-0.2,0.3185,13.6457,0.5805,14.5165
0.0737,-0.1789,0.3171,13.6542,0.5697,14.5089
0.0737,-0.1579,0.3158,13.6617,0.5601,14.5019
0.0737,-0.1368,0.3148,13.6682,0.5516,14.4956
0.0737,-0.1158,0.3139,13.6736,0.5443,14.49
0.0737,-0.0947,0.3131,13.6779,0.5383,14.4853
0.0737,-0.0737,0.3126,13.6812,0.5336,14.4816
0.0737,-0.0526,0.3122,13.6835,0.5302,14.4787
0.0737,-0.0316,0.3121,13.6847,0.5281,14.4769
0.0737,-0.0105,0.3121,13.6849,0.5275,14.4761
0.0737,0.0105,0.3123,13.684,0.5282,14.4763
0.0737,0.0316,0.3126,13.6821,0.5303,14.4776
0.0737,0.0526,0.3132,13.6791,0.5338,14.4798
0.0737,0.0737,0.3139,13.6751,0.5386,14.483
0.0737,0.0947,0.3148,13.6701,0.5447,14.4871
0.0737,0.1158,0.3159,13.664,0.5521,14.4921
0.0737,0.1368,0.3171,13.6569,0.5606,14.4978
0.0737,0.1579,0.3185,13.6487,0.5703,14.5042
0.0737,0.1789,0.3201,13.6395,0.5811,14.5112
0.0737,0.2,0.3219,13.6292,0.593,14.5187
0.0947,-0.2,0.2672,13.9538,0.5935,14.8441
0.0947,-0.1789,0.2654,13.9625,0.5825,14.8362
0.0947,-0.1579,0.2639,13.9702,0.5725,14.829
0.0947,-0.1368,0.2626,13.9769,0.5638,14.8225
0.0947,-0.1158,0.2615,13.9824,0.5562,14.8168
0.0947,-0.0947,0.2607,13.9869,0.55,14.8119
0.0947,-0.0737,0.26,13.9903,0.5451,14.808
0.0947,-0.0526,0.2596,13.9926,0.5417,14.8051
0.0947,-0.0316,0.2593,13.9939,0.5396,14.8032
0.0947,-0.0105,0.2593,13.9941,0.5389,14.8024
0.0947,0.0105,0.2596,13.9932,0.5396,14.8027
0.0947,0.0316,0.26,13.9912,0.5418,14.804
0.0947,0.0526,0.2607,13.9882,0.5454,14.8063
0.0947,0.0737,0.2616,13.984,0.5504,14.8096
0.0947,0.0947,0.2626,13.9788,0.5567,14.8138
0.0947,0.1158,0.264,13.9726,0.5642,14.819
0.0947,0.1368,0.2655,13.9652,0.5731,14.8249
0.0947,0.1579,0.2672,13.9568,0.5831,14.8315
0.0947,0.1789,0.2691,13.9473,0.5942,14.8387
0.0947,0.2,0.2712,13.9367,0.6065,14.8464
0.1158,-0.2,0.2165,14.2652,0.6067,15.1753
0.1158,-0.1789,0.2143,14.2743,0.5953,15.1673
0.1158,-0.1579,0.2124,14.2822,0.5851,15.1598
0.1158,-0.1368,0.2108,14.289,0.576,15.1531
0.1158,-0.1158,0.2094,14.2948,0.5683,15.1472
0.1158,-0.0947,0.2083,14.2994,0.5619,15.1422
0.1158,-0.0737,0.2075,14.3029,0.5569,15.1382
0.1158,-0.0526,0.2069,14.3053,0.5533,15.1352
0.1158,-0.0316,0.2066,14.3066,0.5511,15.1332
0.1158,-0.0105,0.2066,14.3068,0.5504,15.1324
0.1158,0.0105,0.2069,14.3058,0.5512,15.1326
0.1158,0.0316,0.2075,14.3038,0.5534,15.134
0.1158,0.0526,0.2083,14.3007,0.5571,15.1364
0.1158,0.0737,0.2094,14.2964,0.5623,15.1398
0.1158,0.0947,0.2108,14.2911,0.5687,15.1442
0.1158,0.1158,0.2125,14.2846,0.5766,15.1495
0.1158,0.1368,0.2144,14.277,0.5857,15.1556
0.1158,0.1579,0.2165,14.2684,0.596,15.1624
0.1158,0.1789,0.2189,14.2586,0.6075,15.1698
0.1158,0.2,0.2215,14.2477,0.6201,15.1778
0.1368,-0.2,0.167,14.5801,0.6201,15.5103
0.1368,-0.1789,0.1642,14.5895,0.6083,15.5019
0.1368,-0.1579,0.1617,14.5976,0.5978,15.4943
0.1368,-0.1368,0.1595,14.6047,0.5885,15.4873
0.1368,-0.1158,0.1577,14.6105,0.5805,15.4813
0.1368,-0.0947,0.1562,14.6153,0.5739,15.4761
0.1368,-0.0737,0.155,14.6189,0.5687,15.472
0.1368,-0.0526,0.1543,14.6214,0.565,15.4689
0.1368,-0.0316,0.1539,14.6227,0.5628,15.4669
0.1368,-0.0105,0.1539,14.6229,0.5621,15.466
0.1368,0.0105,0.1543,14.6219,0.5629,15.4662
0.1368,0.0316,0.1551,14.6198,0.5652,15.4676
0.1368,0.0526,0.1562,14.6166,0.569,15.4701
0.1368,0.0737,0.1577,14.6122,0.5743,15.4737
0.1368,0.0947,0.1595,14.6067,0.581,15.4782
0.1368,0.1158,0.1617,14.6001,0.589,15.4836
0.1368,0.1368,0.1642,14.5923,0.5984,15.4899
0.1368,0.1579,0.1671,14.5833,0.6091,15.497
0.1368,0.1789,0.1702,14.5733,0.6209,15.5046
0.1368,0.2,0.1736,14.5621,0.6339,15.5129
0.1579,-0.2,0.1203,14.8985,0.6336,15.8489
0.1579,-0.1789,0.1163,14.9081,0.6215,15.8403
0.1579,-0.1579,0.1127,14.9165,0.6106,15.8324
0.1579,-0.1368,0.1095,14.9237,0.601,15.8253
0.1579,-0.1158,0.1068,14.9298,0.5928,15.819
0.1579,-0.0947,0.1046,14.9347,0.586,15.8137
0.1579,-0.0737,0.1029,14.9384,0.5807,15.8094
0.1579,-0.0526,0.1018,14.9409,0.5768,15.8062
0.1579,-0.0316,0.1012,14.9423,0.5746,15.8041
0.1579,-0.0105,0.1012,14.9425,0.5738,15.8032
0.1579,0.0105,0.1018,14.9415,0.5747,15.8035
0.1579,0.0316,0.1029,14.9393,0.5771,15.8049
0.1579,0.0526,0.1046,14.936,0.581,15.8075
0.1579,0.0737,0.1069,14.9315,0.5864,15.8112
0.1579,0.0947,0.1096,14.9258,0.5933,15.8158
0.1579,0.1158,0.1128,14.919,0.6016,15.8215
0.1579,0.1368,0.1164,14.911,0.6113,15.828
0.1579,0.1579,0.1203,14.9018,0.6223,15.8352
0.1579,0.1789,0.1247,14.8914,0.6345,15.8431
0.1579,0.2,0.1293,14.8799,0.6478,15.8516
0.1789,-0.2,0.0809,15.2203,0.6472,16.1911
0.1789,-0.1789,0.0748,15.2301,0.6348,16.1823
0.1789,-0.1579,0.0691,15.2388,0.6236,16.1742
0.1789,-0.1368,0.0639,15.2462,0.6137,16.1668
0.1789,-0.1158,0.0592,15.2525,0.6053,16.1604
0.1789,-0.0947,0.0552,15.2575,0.5983,16.1549
0.1789,-0.0737,0.052,15.2613,0.5928,16.1505
0.1789,-0.0526,0.0497,15.2639,0.5888,16.1472
0.1789,-0.0316,0.0486,15.2653,0.5865,16.1451
0.1789,-0.0105,0.0486,15.2655,0.5857,16.1441
0.1789,0.0105,0.0497,15.2645,0.5866,16.1444
0.1789,0.0316,0.052,15.2623,0.5891,16.1459
0.1789,0.0526,0.0552,15.2589,0.5931,16.1486
0.1789,0.0737,0.0593,15.2542,0.5987,16.1523
0.1789,0.0947,0.064,15.2484,0.6058,16.1571
0.1789,0.1158,0.0692,15.2414,0.6144,16.1629
0.1789,0.1368,0.0749,15.2331,0.6244,16.1696
0.1789,0.1579,0.081,15.2236,0.6356,16.1771
0.1789,0.1789,0.0873,15.213,0.6482,16.1853
0.1789,0.2,0.0938,15.2011,0.6619,16.194
0.2,-0.2,0.0633,15.5455,0.661,16.5371
0.2,-0.1789,0.0553,15.5556,0.6482,16.528
0.2,-0.1579,0.0474,15.5645,0.6367,16.5196
0.2,-0.1368,0.0395,15.5722,0.6266,16.512
0.2,-0.1158,0.0316,15.5786,0.6179,16.5054
0.2,-0.0947,0.0237,15.5838,0.6107,16.4997
0.2,-0.0737,0.0158,15.5877,0.605,16.4952
0.2,-0.0526,0.0079,15.5904,0.601,16.4918
0.2,-0.0316,0.0,15.5918,0.5985,16.4896
0.2,-0.0105,0.0001,15.592,0.5978,16.4887
0.2,0.0105,0.008,15.591,0.5987,16.489
0.2,0.0316,0.0159,15.5887,0.6012,16.4905
0.2,0.0526,0.0238,15.5852,0.6054,16.4932
0.2,0.0737,0.0317,15.5804,0.6111,16.4971
0.2,0.0947,0.0397,15.5744,0.6185,16.5021
0.2,0.1158,0.0476,15.5672,0.6273,16.5081
0.2,0.1368,0.0555,15.5587,0.6375,16.515
0.2,0.1579,0.0634,15.5489,0.6491,16.5227
0.2,0.1789,0.0713,15.538,0.6621,16.5311
0.2,0.2,0.0792,15.5258,0.6762,16.5401
0.0,0.0,0.4966,12.6295,0.4888,13.3627
