V(Linear Velocity),W(Angular Velocity),goal_reaching_cost,MU,SIGMA,PVO cost
-0.2,-0.2,1.0,12.584,0.5498,13.4086
-0.2,-0.1789,0.9981,12.593,0.5387,13.4011
-0.2,-0.1579,0.9964,12.6011,0.5286,13.394
-0.2,-0.1368,0.9949,12.6081,0.5196,13.3875
-0.2,-0.1158,0.9936,12.6142,0.5116,13.3816
-0.2,-0.0947,0.9925,12.6193,0.5048,13.3765
-0.2,-0.0737,0.9917,12.6234,0.4992,13.3721
-0.2,-0.0526,0.991,12.6265,0.4947,13.3686
-0.2,-0.0316,0.9906,12.6286,0.4915,13.3659
-0.2,-0.0105,0.9904,12.6298,0.4896,13.3642
-0.2,0.0105,0.9904,12.6299,0.489,13.3635
-0.2,0.0316,0.9906,12.6291,0.4897,13.3637
-0.2,0.0526,0.991,12.6273,0.4917,13.3648
-0.2,0.0737,0.9917,12.6246,0.4949,13.3669
-0.2,0.0947,0.9925,12.6208,0.4994,13.3699
-0.2,0.1158,0.9936,12.616,0.5051,13.3737
-0.2,0.1368,0.9949,12.6103,0.512,13.3783
-0.2,0.1579,0.9964,12.6036,0.52,13.3837
-0.2,0.1789,0.9981,12.5959,0.5291,13.3896
-0.2,0.2,1.0,12.5872,0.5392,13.3961
-0.1895,-0.2,0.9484,12.7314,0.5562,13.5657
-0.1895,-0.1789,0.9463,12.7406,0.545,13.558
-0.1895,-0.1579,0.9445,12.7487,0.5348,13.5509
-0.1895,-0.1368,0.9429,12.7559,0.5256,13.5442
-0.1895,-0.1158,0.9416,12.7621,0.5175,13.5383
-0.1895,-0.0947,0.9404,12.7672,0.5105,13.533
-0.1895,-0.0737,0.9395,12.7714,0.5048,13.5286
-0.1895,-0.0526,0.9388,12.7746,0.5003,13.525
-0.1895,-0.0316,0.9384,12.7767,0.497,13.5223
-0.1895,-0.0105,0.9382,12.7779,0.4951,13.5206
-0.1895,0.0105,0.9382,12.7781,0.4945,13.5198
-0.1895,0.0316,0.9384,12.7773,0.4952,13.52
-0.1895,0.0526,0.9389,12.7754,0.4972,13.5212
-0.1895,0.0737,0.9395,12.7726,0.5005,13.5233
-0.1895,0.0947,0.9405,12.7688,0.5051,13.5264
-0.1895,0.1158,0.9416,12.764,0.5109,13.5303
-0.1895,0.1368,0.943,12.7581,0.5179,13.5349
-0.1895,0.1579,0.9445,12.7513,0.526,13.5404
-0.1895,0.1789,0.9464,12.7435,0.5353,13.5464
-0.1895,0.2,0.9484,12.7347,0.5456,13.553
-0.1789,-0.2,0.8968,12.8797,0.5627,13.7237
-0.1789,-0.1789,0.8947,12.889,0.5513,13.7159
-0.1789,-0.1579,0.8927,12.8973,0.5409,13.7086
-0.1789,-0.1368,0.891,12.9045,0.5316,13.7019
-0.1789,-0.1158,0.8896,12.9108,0.5233,13.6958
-0.1789,-0.0947,0.8884,12.9161,0.5163,13.6905
-0.1789,-0.0737,0.8874,12.9203,0.5104,13.686
-0.1789,-0.0526,0.8867,12.9235,0.5059,13.6823
-0.1789,-0.0316,0.8862,12.9257,0.5026,13.6796
-0.1789,-0.0105,0.886,12.9269,0.5006,13.6778
-0.1789,0.0105,0.886,12.9271,0.5,13.677
-0.1789,0.0316,0.8862,12.9262,0.5007,13.6773
-0.1789,0.0526,0.8867,12.9244,0.5027,13.6785
-0.1789,0.0737,0.8874,12.9215,0.5061,13.6806
-0.1789,0.0947,0.8884,12.9176,0.5107,13.6837
-0.1789,0.1158,0.8896,12.9127,0.5166,13.6877
-0.1789,0.1368,0.8911,12.9068,0.5238,13.6925
-0.1789,0.1579,0.8928,12.8999,0.532,13.698
-0.1789,0.1789,0.8947,12.8919,0.5414,13.7041
-0.1789,0.2,0.8969,12.883,0.5519,13.7108
-0.1684,-0.2,0.8454,13.0288,0.5692,13.8826
-0.1684,-0.1789,0.8431,13.0382,0.5577,13.8747
-0.1684,-0.1579,0.841,13.0467,0.5471,13.8673
-0.1684,-0.1368,0.8392,13.054,0.5376,13.8605
-0.1684,-0.1158,0.8376,13.0604,0.5292,13.8543
-0.1684,-0.0947,0.8363,13.0657,0.5221,13.8489
-0.1684,-0.0737,0.8353,13.07,0.5161,13.8443
-0.1684,-0.0526,0.8345,13.0733,0.5115,13.8405
-0.1684,-0.0316,0.834,13.0756,0.5081,13.8378
-0.1684,-0.0105,0.8337,13.0768,0.5061,13.836
-0.1684,0.0105,0.8337,13.0769,0.5055,13.8352
