V(Linear Velocity),W(Angular Velocity),goal_reaching_cost,MU,SIGMA,PVO cost
-0.2,-0.2,0.9996,5.6053,0.2416,5.9678
-0.2,-0.1789,0.9995,5.6073,0.2393,5.9662
-0.2,-0.1579,0.9994,5.609,0.2372,5.9647
-0.2,-0.1368,0.9993,5.6104,0.2354,5.9635
-0.2,-0.1158,0.9992,5.6116,0.2338,5.9623
-0.2,-0.0947,0.9992,5.6126,0.2326,5.9614
-0.2,-0.0737,0.9991,5.6132,0.2316,5.9607
-0.2,-0.0526,0.9991,5.6137,0.231,5.9602
-0.2,-0.0316,0.9991,5.6138,0.2307,5.9598
-0.2,-0.0105,0.9991,5.6138,0.2306,5.9597
-0.2,0.0105,0.9991,5.6134,0.2309,5.9598
-0.2,0.0316,0.9992,5.6128,0.2315,5.9601
-0.2,0.0526,0.9992,5.612,0.2324,5.9606
-0.2,0.0737,0.9993,5.6109,0.2336,5.9613
-0.2,0.0947,0.9994,5.6095,0.2351,5.9621
-0.2,0.1158,0.9995,5.6079,0.2368,5.9632
-0.2,0.1368,0.9996,5.6061,0.2389,5.9644
-0.2,0.1579,0.9997,5.6039,0.2412,5.9658
-0.2,0.1789,0.9998,5.6016,0.2438,5.9673
-0.2,0.2,1.0,5.5989,0.2467,5.9689
-0.1789,-0.2,0.947,5.8035,0.2497,6.1781
-0.1789,-0.1789,0.9469,5.8056,0.2472,6.1763
-0.1789,-0.1579,0.9468,5.8074,0.2449,6.1748
-0.1789,-0.1368,0.9467,5.8089,0.243,6.1734
-0.1789,-0.1158,0.9467,5.8102,0.2414,6.1722
-0.1789,-0.0947,0.9466,5.8111,0.2401,6.1713
-0.1789,-0.0737,0.9466,5.8119,0.2391,6.1705
-0.1789,-0.0526,0.9465,5.8123,0.2384,6.1699
-0.1789,-0.0316,0.9465,5.8125,0.238,6.1696
-0.1789,-0.0105,0.9465,5.8124,0.238,6.1694
-0.1789,0.0105,0.9466,5.8121,0.2383,6.1695
-0.1789,0.0316,0.9466,5.8114,0.2389,6.1698
-0.1789,0.0526,0.9467,5.8105,0.2399,6.1704
-0.1789,0.0737,0.9467,5.8094,0.2412,6.1711
-0.1789,0.0947,0.9468,5.8079,0.2427,6.172
